full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023zao,13:6:23.4037,+35:14:1.34,18.251,not_center,,,2023-12-06 15:15:45.216,ATLAS23wuh,WISEA J130623.11+351401.5,,,196.597515556,35.2337055556,orange,196.59653,35.23383,--,G
AT2023yzc,0:19:7.2002,+15:55:47.499,18.66,center,,,2023-12-06 03:36:00.000,ZTF23abryude,WISEA J001907.20+155548.3,,,4.7800007,15.9298607,r,4.78001,15.92984,--,G
AT2023yyd,14:38:7.7981,+17:27:0.266,18.099,not_center,,,2023-12-05 15:15:39.168,ATLAS23wtz,SDSS J143807.69+172656.7,,,219.532492,17.450074,orange,219.53206,17.4491,--,G
AT2023yyf,13:37:44.7181,+27:47:20.161,18.266,not_center,,,2023-12-05 15:05:30.912,ATLAS23wua,WISEA J133744.56+274714.3,,,204.436325455,27.7889336364,orange,204.4358,27.78711,--,UvS
AT2023yvj,0:45:28.9001,+41:54:10.001,18.63,center,,Nova,2023-12-05 13:06:29.088,PSP23R,MESSIER 031 N2008-12a,,,11.370417,41.902778,Clear,11.37,41.90281,--,Nova
SN2023yzv,5:21:21.4621,-15:1832:29.024,16.74,not_center,0.011268,SN II,2023-12-05 12:03:08.352,"PS23lmf, ATLAS23wfr",PGC1 2816473 GROUP,,,80.3394256243,-15.5413954865,w,80.33987,-15.54246,--,GGroup
AT2023ysz,12:50:56.6447,+41:6:15.656,18.719,not_center,0.0009,Nova,2023-12-04 15:11:19.104,"ATLAS23wne, PS23ldw",SSTSL2 J125055.21+410607.5,,,192.736019481,41.1043489566,orange,192.73007,41.10209,--,IrS
SN2023ytk,3:8:14.7116,+2:28:27.345,18.62,not_center,0.075,SN Ia,2023-12-04 11:51:57.888,"PS23lec, ATLAS23won, ZTF23abrvauz",WISEA J030815.46+022825.6,,,47.0612985075,2.47426243944,g,47.06446,2.47381,0.075077,G
AT2023yzp,19:51:3.0401,+71:44:54.352,16.46,not_center,,,2023-12-04 00:46:04.800,Gaia23dmk,WISEA J195105.58+714502.9,,,297.762667,71.748431,G,297.77328,71.75081,--,IrS
AT2023yzt,13:31:20.3599,-13:1586:5.572,17.94,center,,,2023-12-03 14:22:33.600,Gaia23dmp,WISEA J133120.35-132605.7,,,202.834833,-13.434881,G,202.83462,-13.43503,--,RadioS
AT2023yzs,22:28:44.7,+64:13:11.752,17.62,center,,,2023-12-03 12:31:40.800,Gaia23dmo,WISEA J222844.76+641311.6,,,337.18625,64.219931,G,337.18631,64.21989,--,IrS
AT2023yqt,0:42:27.4901,+41:11:8.2,16.22,center,,Nova,2023-12-03 12:21:16.992,"PSP23Q, STSP-01N, MASTER OT J004227.56+411107.8, Gaia23dmh",SSTSL2 J004227.47+411106.4,,,10.614542,41.185611,Clear,10.61449,41.18514,--,IrS
AT2023yru,7:9:26.616,+31:1:39.83,17.014,not_center,,,2023-12-03 11:54:27.360,"ATLAS23wly, PS23llr",WISEA J070925.51+310137.2,,,107.360900124,31.0277304373,orange,107.35636,31.02684,--,UvS
AT2023ysv,4:3:27.5442,+27:21:30.537,18.484,not_center,,,2023-12-03 10:23:11.328,"ATLAS23wmw, GOTO23bnk, ZTF23abrzfge",WISEA J040327.87+272129.2,,,60.8647674,27.3584826,orange,60.86596,27.35872,0.023554,G
AT2023yzr,16:58:8.34,+61:50:1.972,17.82,center,,,2023-12-03 07:01:55.200,Gaia23dmn,WISEA J165808.33+615002.0,,,254.53475,61.833881,G,254.53471,61.83394,0.374142,G
AT2023yzo,22:54:23.4199,+60:50:59.96,15.54,center,,,2023-12-03 06:27:21.600,Gaia23dmf,2MASS J22542343+6051001,,,343.597583,60.849989,G,343.59748,60.85002,--,IrS
AT2023yqq,22:56:4.949,+19:34:56.625,18.547,not_center,,,2023-12-03 06:24:40.896,"ATLAS23wlf, PS23lgs, ZTF23abryfga",WISEA J225605.74+193444.0,,,344.020620671,19.5823958116,cyan,344.02393,19.5789,--,IrS
AT2023ywd,19:18:36.5039,+28:23:59.968,17.826,not_center,,,2023-12-03 04:56:32.352,"ATLAS23wqv, ZTF23abryfva",2MASS J19183678+2824048,,,289.6520996,28.3999911,cyan,289.65325,28.40135,--,IrS
AT2023ywg,2:35:40.6462,+3:18:32.063,18.795,not_center,,,2023-12-02 20:34:54.048,"ATLAS23wrb, PS23llj",WISEA J023540.47+031834.4,,,38.9193592844,3.30890631062,orange,38.91904,3.30983,0.082,G
AT2023yzb,23:4:2.31,+54:0:46.148,18.74,center,,,2023-12-02 06:20:09.600,Gaia23dme,WISEA J230402.33+540046.2,,,346.009625,54.012819,G,346.00963,54.01287,--,IrS
AT2023yyz,21:38:39.7999,+57:8:46.972,13.94,center,,,2023-12-01 06:30:14.400,Gaia23dmc,WISEA J213839.79+570847.2,,,324.665833,57.146381,G,324.66583,57.14647,--,IrS
AT2023ypp,3:31:49.2111,-4:522:44.301,18.056,not_center,,,2023-11-29 22:01:22.368,"ATLAS23wkh, PS23lmi",WISEA J033150.24-044303.9,,,52.955046385,-4.71230589293,orange,52.95934,-4.71777,--,IrS
SN2023yoo,22:1:3.1452,-13:1576:28.969,17.339,not_center,0.012,SN Ia,2023-11-28 00:50:48.192,"ATLAS23wjr, ZTF23abryylt",2MASS J22010279-1316178,,,330.2631049,-13.2747137,orange,330.26165,-13.27163,--,IrS
SN2023yin,22:32:6.077,+13:20:6.112,18.371,not_center,0.048,SN Ia,2023-11-23 07:14:04.416,"ATLAS23wdt, PS23lgj",WISEA J223206.23+132008.8,,,338.025320737,13.3350312039,orange,338.02596,13.33581,--,G
AT2023yck,6:23:28.4654,+39:39:3.333,18.568,not_center,,,2023-11-18 10:07:20.064,"ATLAS23vyo, PS23lgx",WISEA J062327.42+393856.9,,,95.8686057217,39.6509258383,cyan,95.86433,39.64915,--,IrS
SN2023xyr,11:6:42.3723,+45:44:53.507,16.9,center,0.036535,SN Ia,2023-11-17 13:55:12.000,"ASASSN-23if, ATLAS23wuc",2MFGC 08659,,,166.676551429,45.7481964286,g,166.67686,45.74796,0.036535,G
AT2023xum,3:57:3.0059,+35:59:38.241,16.57,not_center,,,2023-11-14 17:58:43.104,"KATS23V005, ZTF23abrajyk, ATLAS23vuc, PS23lhd",2MASS J03570178+3559521,,,59.2625245285,35.9939558679,Clear,59.25743,35.99783,--,IrS
AT2023xqw,4:10:4.4298,+10:56:12.653,18.44,not_center,,,2023-11-13 06:47:31.200,"ZTF23abqqbmj, PS23lhf",WISEA J041005.08+105556.5,,,62.5184574947,10.9368480711,r,62.52118,10.93238,--,IrS
AT2023wvp,7:10:54.512,+12:42:43.015,18.259,not_center,,,2023-11-06 07:34:26.112,"ATLAS23vcy, PS23lil",WISEA J071054.07+124252.5,,,107.727133389,12.7119485057,orange,107.72536,12.71461,--,IrS
AT2023vvq,6:12:21.5235,-12:1459:23.053,18.725,not_center,,,2023-10-25 00:26:47.040,"ATLAS23uqf, PS23lkf",WISEA J061221.26-121915.3,,,93.0896814153,-12.3230703689,orange,93.08858,-12.32092,--,IrS
SN2023vhk,10:4:56.3159,+27:28:53.938,17.623,not_center,0.052,SN Ia,2023-10-18 14:23:28.896,"ATLAS23uik, ZTF23abiearq, PS23lgh",WISEA J100456.47+272852.9,,,151.23464952,27.4816495607,cyan,151.23529,27.48137,0.051986,G
AT2023uus,10:48:53.327,+33:6:49.284,18.613,not_center,,,2023-10-13 14:47:47.328,"ATLAS23ucu, ZTF23abhplkw, PS23ljx",WISEA J104853.65+330645.7,,,162.222195672,33.1136901004,cyan,162.22353,33.11267,--,G
SN2023uvb,9:53:58.5499,-6:746:10.82,18.788,not_center,0.015,SN II,2023-10-13 12:20:16.002,"ZTF23abjstcg, PS23knf, Gaia23dho, ATLAS23wbw",WISEA J095358.67-062604.9,,,148.493958,-6.436339,r,148.49449,-6.4351,--,G
AT2023rhh,8:41:39.0146,+35:24:3.132,18.4359,center,,,2023-09-04 12:12:02.002,"ZTF23abawves, PS23lko",SDSS J084139.03+352402.9,,,130.412560672,35.4008700179,r,130.41263,35.40081,--,G
AT2023lzs,10:50:54.1492,+26:48:53.961,18.633,center,,,2023-06-28 06:26:33.216,"ATLAS23mzs, ZTF23aapdddo, PS23liv",WISEA J105054.05+264853.5,,,162.725621587,26.81498922,orange,162.72522,26.81488,--,IrS
SN2023jpg,8:23:52.9249,-5:607:58.442,18.433,center,0.05,SN II,2023-05-09 01:44:15.360,"ATLAS23lnk, ZTF23aaisxic, PS23lir",WISEA J082352.86-050757.9,,,125.970520555,-5.13290047284,orange,125.97007,-5.13276,--,UvS
